Country,Reporting Count,Counterparty Count
Afghanistan,0,284
Albania,0,404
Algeria,0,451
Andorra,0,421
Angola,0,392
Anguilla,0,62
Antigua and Barbuda,0,51
Argentina,0,698
Armenia,0,371
Aruba,0,299
Australia,6995,845
Austria,7275,860
Azerbaijan,0,421
Bahrain,0,670
Bangladesh,0,471
Barbados,0,386
Belarus,0,402
Belgium,3310,910
Belize,0,396
Benin,0,247
Bermuda,0,729
Bhutan,0,184
Bolivia,0,343
"Bonaire, Sint Eustatius and Saba",0,106
Bosnia and Herzegovina,0,365
Botswana,0,283
Brazil,1463,790
British Virgin Islands,0,182
Brunei,0,302
Bulgaria,0,659
Burkina Faso,0,268
Burundi,0,229
Cabo Verde,0,248
Cambodia,0,354
Cameroon,0,355
Canada,4096,890
Cayman Islands,0,844
Central African Republic,0,179
Chad,0,191
Chile,844,709
China,0,860
Chinese Taipei,3694,723
Colombia,0,576
Comoros,0,125
Costa Rica,0,499
Croatia,0,559
Cuba,0,406
Curaçao,0,459
Cyprus,0,702
Czechia,0,745
Czechoslovakia,0,69
Côte d'Ivoire,0,423
Democratic Republic of the Congo,0,301
Denmark,2060,815
Djibouti,0,197
Dominica,0,239
Dominican Republic,0,416
East Timor,0,113
Ecuador,0,470
Egypt,0,615
El Salvador,0,367
Equatorial Guinea,0,199
Eritrea,0,122
Estonia,0,572
Eswatini,0,303
Ethiopia,0,327
Faeroe Islands,0,199
Falkland Islands,0,152
Fiji,0,266
Finland,2831,816
France,10429,954
French Polynesia,0,240
Gabon,0,345
Georgia,0,423
German Democratic Republic,0,61
Germany,1428,996
Ghana,0,435
Gibraltar,0,424
Greece,3198,753
Greenland,0,173
Grenada,0,164
Guatemala,0,382
Guernsey,0,620
Guinea,0,302
Guinea-Bissau,0,185
Guyana,0,222
Haiti,0,232
Honduras,0,366
Hong Kong SAR,0,912
Hungary,0,747
Iceland,0,547
India,1394,792
Indonesia,0,743
Iran,0,550
Iraq,0,373
Ireland,2898,897
Isle of Man,0,588
Israel,0,713
Italy,7810,888
Jamaica,0,385
Japan,4305,854
Jersey,0,662
Jordan,0,489
Kazakhstan,0,499
Kenya,0,478
Kiribati,0,133
Korea,1562,828
Kuwait,0,651
Kyrgyz Republic,0,271
Laos,0,337
Latvia,0,606
Lebanon,0,492
Lesotho,0,152
Liberia,0,501
Libya,0,380
Liechtenstein,0,439
Lithuania,0,589
Luxembourg,0,961
Macao SAR,0,509
Madagascar,0,257
Malawi,0,229
Malaysia,0,753
Maldives,0,311
Mali,0,255
Malta,0,649
Marshall Islands,0,457
Mauritania,0,245
Mauritius,0,452
Mexico,267,786
Micronesia,0,100
Moldova,0,328
Mongolia,0,296
Montenegro,0,295
Montserrat,0,18
Morocco,0,514
Mozambique,0,369
Myanmar,0,309
Namibia,0,368
Nauru,0,141
Nepal,0,307
Netherlands,252,944
Netherlands Antilles,0,351
New Caledonia,0,269
New Zealand,0,651
Nicaragua,0,330
Niger,0,283
Nigeria,0,595
North Korea,0,320
North Macedonia,0,364
Norway,0,843
Oman,0,513
Pakistan,0,505
Palau,0,72
Palestinian Territory,0,216
Panama,352,781
Papua New Guinea,0,330
Paraguay,0,393
Peru,0,697
Philippines,0,708
Poland,0,778
Portugal,1008,824
Qatar,0,711
Republic of Congo,0,318
Residents/Local,0,429
Romania,0,697
Russia,0,772
Rwanda,0,235
Samoa,0,226
San Marino,0,234
Saudi Arabia,0,734
Senegal,0,394
Serbia,0,506
Serbia and Montenegro,0,199
Seychelles,0,414
Sierra Leone,0,229
Singapore,356,924
Sint Maarten,0,141
Slovakia,0,641
Slovenia,0,595
Solomon Islands,0,142
Somalia,0,161
South Africa,0,814
South Sudan,0,57
Spain,9594,903
Sri Lanka,0,480
"St Helena, Ascension and Tristan da Cunha",0,113
St Kitts and Nevis,0,84
St Lucia,0,223
St Vincent and the Grenadines,0,319
Sudan,0,302
Suriname,0,223
Sweden,7515,882
Switzerland,5286,928
Syria,0,313
São Tomé and Príncipe,0,156
Tajikistan,0,238
Tanzania,0,384
Thailand,0,727
The Bahamas,0,705
The Gambia,0,229
Togo,0,258
Tonga,0,101
Trinidad and Tobago,0,408
Tunisia,0,473
Turkmenistan,0,214
Turks and Caicos Islands,0,267
Tuvalu,0,75
Türkiye,1042,836
U.S. Miscellaneous Pacific Islands,0,191
USSR (Soviet Union),0,78
Uganda,0,341
Ukraine,0,543
United Arab Emirates,0,838
United Kingdom,6534,1009
United States,2496,1021
Uruguay,0,529
Uzbekistan,0,364
Vanuatu,0,213
Vatican City State,0,209
Venezuela,0,504
Vietnam,0,573
Wallis and Futuna Islands,0,123
Yemen,0,301
Yugoslavia,0,78
Zambia,0,340
Zimbabwe,0,290
